Country,Region,Reserves,Reserves_fj5,Energy,Energy_fj5,Electricity,Electricity_fj5,Education,Education_fj5
Afghanistan,South Asia,9749000000.0,0,3380000.0,0,627000.0,0,2.9,1
Albania,Europe,6455000000.0,0,27407000.0,0,2857000.0,0,3.1,1
Algeria,Africa,68448000000.0,0,61843000.0,1,22591000.0,0,7.0,3
American Samoa,Australia and Oceania,,,89105000.0,1,50000.0,0,,
Andorra,Europe,,,,,,,2.9,1
Angola,Africa,14243000000.0,0,9146000.0,0,7600000.0,0,2.4,0
Anguilla,Central America and the Caribbean,76380000.0,0,,,,,4.0,1
Antigua and Barbuda,Central America and the Caribbean,358441000.0,0,110114000.0,1,148000.0,0,3.8,1
Argentina,South America,24381000000.0,0,78496000.0,1,47631000.0,0,5.0,2
Armenia,Central Asia,3684000000.0,0,54689000.0,1,4265000.0,0,2.8,0
Aruba,Central America and the Caribbean,1468000000.0,0,153952000.0,2,305000.0,0,5.5,2
Australia,Australia and Oceania,54455000000.0,0,223158000.0,2,108193000.0,1,6.1,3
Austria,Europe,11919000000.0,0,120211000.0,1,33371000.0,0,5.1,2
Azerbaijan,Central Asia,12699000000.0,0,66467000.0,1,8383000.0,0,4.3,2
"Bahamas, The",Central America and the Caribbean,2512000000.0,0,104409000.0,1,608000.0,0,2.8,0
Bahrain,Middle East,5118000000.0,0,554202000.0,4,7031000.0,0,2.2,0
Bangladesh,South Asia,20225000000.0,0,11472000.0,0,22699000.0,0,2.1,0
Barbados,Central America and the Caribbean,1606000000.0,0,68293000.0,1,320000.0,0,6.5,3
Belarus,Europe,4392000000.0,0,104821000.0,1,12653000.0,0,4.7,2
Belgium,Europe,22374000000.0,0,190416000.0,2,28248000.0,0,6.7,3
Belize,Central America and the Caribbean,498087000.0,0,30752000.0,0,220000.0,0,8.7,4
Benin,Africa,698900000.0,0,6472000.0,0,505000.0,0,3.0,1
Bermuda,North America,,,122737000.0,1,172000.0,0,1.9,0
Bhutan,South Asia,928229000.0,0,64082000.0,1,2344000.0,0,7.0,3
Bolivia,South America,87100000.0,0,29340000.0,0,4375000.0,0,9.8,4
Bosnia and Herzegovina,Europe,9127000000.0,0,91227000.0,1,4682000.0,0,,
Botswana,Africa,4756000000.0,0,32443000.0,0,758000.0,0,8.7,4
Brazil,South America,318857000000.0,2,48889000.0,0,240251000.0,2,6.0,3
British Virgin Islands,Central America and the Caribbean,,,66998000.0,1,63000.0,0,2.6,0
Brunei,East and Southeast Asia,4032000000.0,0,403365000.0,3,904000.0,0,4.4,2
Bulgaria,Europe,40270000000.0,0,102171000.0,1,12939000.0,0,4.0,1
Burkina Faso,Africa,49000000.0,0,3481000.0,0,749000.0,0,5.5,2
Burma,East and Southeast Asia,9338000000.0,0,8384000.0,0,7419000.0,0,2.1,0
Burundi,Africa,90350000.0,0,946000.0,0,131000.0,0,5.0,2
Cabo Verde,Africa,783106000.0,0,19999000.0,0,200000.0,0,7.6,3
Cambodia,East and Southeast Asia,18608000000.0,0,15664000.0,0,3673000.0,0,3.1,1
Cameroon,Africa,4882000000.0,0,4271000.0,0,1798000.0,0,3.2,1
Canada,North America,117551000000.0,1,311599000.0,3,161988000.0,1,5.2,2
Cayman Islands,Central America and the Caribbean,234000000.0,0,143149000.0,1,176000.0,0,2.1,0
Central African Republic,Africa,479593000.0,0,954000.0,0,63000.0,0,2.2,0
Chad,Africa,1050000000.0,0,1502000.0,0,167000.0,0,2.9,1
Chile,South America,44382000000.0,0,71420000.0,1,39238000.0,0,5.6,2
China,East and Southeast Asia,3265000000000.0,4,113805000.0,1,2949000000.0,4,3.6,1
Colombia,South America,61506000000.0,0,29305000.0,0,21053000.0,0,4.9,2
Comoros,Africa,322436000.0,0,7139000.0,0,32000.0,0,2.6,0
"Congo, Democratic Republic of the",Africa,5104000000.0,0,1305000.0,0,3229000.0,0,2.7,0
"Congo, Republic of the",Africa,715391000.0,0,7351000.0,0,842000.0,0,4.5,2
